Company,Product,TypeName,Inches,ScreenResolution,CPU_Frequency (GHz),RAM (GB),Memory,OpSys,Weight (kg),Price,CPU,GPU,Memory_Type,GPU_Type,Memory_Type_Score,GPU_Type_Score,Price_Range
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.8,16,256GB SSD +  2TB HDD,Windows 10,2.2,1135,Intel Core i7 8550U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,2.6,8,128GB SSD +  1TB HDD,Windows 10,3.31,1196,Intel Core i7 6700HQ,Nvidia GeForce GTX 960,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Alienware 17,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,2.8,32,512GB SSD +  1TB HDD,Windows 10,4.42,3147,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
Dell,Latitude E7470,Notebook,14.0,Full HD 1920x1080,2.4,8,256GB SSD,Windows 10,1.56,1229,Intel Core i5 6300U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Ideapad 320-15IAP,Notebook,15.6,1366x768,1.1,4,500GB HDD,Windows 10,2.2,419,Intel Celeron Dual Core N3350,Intel HD Graphics 500,HDD,Integrated,1.0,1,Low Budget
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,2.3,4,500GB HDD,Windows 10,2.2,535,Intel Core i5 6200U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,1920x1080,2.0,6,1TB HDD,Windows 10,2.04,539,Intel Core i3 6006U,AMD Radeon R5 M430,HDD,Integrated,1.0,1,Low Budget
MSI,GP72VR Leopard,Gaming,17.3,Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.7,1486,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,Mid Budget
Toshiba,Satellite Pro,Notebook,15.6,1366x768,2.1,4,128GB SSD,Windows 10,2.1,498,Intel Core i3 6100U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Dell,Latitude 3580,Notebook,15.6,Full HD 1920x1080,2.5,8,1TB HDD,Windows 10,2.06,955,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,2.7,8,1TB HDD,Windows 10,2.1,745,Intel Core i7 7500U,AMD Radeon 530,HDD,Integrated,1.0,1,Mid Budget
Toshiba,Tecra Z50-D-10E,Notebook,15.6,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.0,1258,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Acer,Aspire 3,Notebook,15.6,1366x768,2.0,4,128GB SSD,Linux,2.1,412,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,2.8,8,256GB SSD,Windows 10 S,1.252,1867,Intel Core i7 7600U,Intel Iris Plus Graphics 640,SSD,Integrated,3.0,1,High Budget
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,2.5,8,128GB SSD +  1TB HDD,Windows 10,1.9,817,Intel Core i5 7200U,AMD Radeon R5 M430,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,2.5,8,256GB SSD,Windows 10,1.3,1034,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,2.2,4,128GB SSD,Windows 10,2.2,349,AMD E-Series E2-9000,AMD Radeon R2 Graphics,SSD,Integrated,3.0,1,Low Budget
HP,Pavilion X360,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,2.4,4,128GB SSD,Windows 10,1.63,699,Intel Core i3 7100U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
MSI,GP62 7RDX,Gaming,15.6,Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,2.4,1294,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
Asus,Zenbook 3,Ultrabook,14.0,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.1,1135,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,Chromebook X360,2 in 1 Convertible,11.6,Touchscreen 1366x768,1.1,8,64GB Flash Storage,Chrome OS,1.4,495,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
LG,Gram 15Z975,Ultrabook,15.6,IPS Panel Full HD 1920x1080,1.8,8,512GB SSD,Windows 10,1.09,2299,Intel Core i7 8550U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Acer,Aspire VX5-591G,Gaming,15.6,Full HD 1920x1080,2.5,16,256GB SSD,Windows 10,2.5,1299,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050 Ti,SSD,Integrated,3.0,1,Mid Budget
MSI,GV62M 7RD,Gaming,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.2,997,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,SSD,Integrated,3.0,1,Mid Budget
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,1.1,4,128GB SSD,Windows 10,1.86,419,Intel Celeron Dual Core N3350,Intel HD Graphics 500,SSD,Integrated,3.0,1,Low Budget
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,2.5,16,128GB SSD +  1TB HDD,Windows 10,3.21,2051,Intel Core i5 7300HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,High Budget
HP,17-bs000nv I3,Notebook,17.3,IPS Panel Full HD 1920x1080,2.0,4,256GB SSD,Windows 10,2.5,699,Intel Core i3 6006U,AMD Radeon R5 520,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Yoga 730,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1.8,8,512GB SSD,Windows 10,1.19,1499,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,2.9,16,256GB SSD +  1TB HDD,Windows 10,3.49,2813,Intel Core i7 7820HK,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
HP,250 G6,Notebook,15.6,1366x768,2.5,4,500GB HDD,Windows 10,1.86,612,Intel Core i5 7200U,AMD Radeon 520,HDD,Integrated,1.0,1,Mid Budget
Dell,Inspiron 3567,Notebook,15.6,1366x768,2.0,4,1TB HDD,Windows 10,2.2,545,Intel Core i3 6006U,AMD Radeon R5 M430,HDD,Integrated,1.0,1,Low Budget
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,2.4,6,2TB HDD,Windows 10,2.65,569,AMD A10-Series 9600P,AMD Radeon R7 M440,HDD,Integrated,1.0,1,Low Budget
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,1366x768,1.6,4,500GB HDD,Windows 10,2.1,318,Intel Celeron Dual Core 3855U,Intel HD Graphics 510,HDD,Integrated,1.0,1,Low Budget
Acer,Chromebook 14,Notebook,14.0,1366x768,1.6,4,32GB Flash Storage,Chrome OS,1.45,375,Intel Celeron Dual Core 3855U,Intel HD Graphics 510,Flash Storage,Integrated,2.0,1,Low Budget
Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,Full HD 1920x1080,2.5,4,256GB SSD,Windows 10,1.7,699,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,ZBook 17,Workstation,17.3,Full HD 1920x1080,2.8,8,500GB HDD,Windows 10,3.14,1907,Intel Core i7 7700HQ,Nvidia Quadro M1200,HDD,Integrated,1.0,1,High Budget
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,2.7,8,256GB SSD,Windows 10,1.42,2590,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Toshiba,Satellite Pro,Notebook,13.3,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.5,973,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Acer,TravelMate B117-M,Netbook,11.6,1366x768,1.6,4,32GB Flash Storage,Windows 10,1.4,269,Intel Celeron Dual Core N3050,Intel HD Graphics,Flash Storage,Integrated,2.0,1,Low Budget
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,2.7,16,512GB SSD,Windows 10,1.38,1749,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Asus,Chromebook Flip,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,0.9,4,64GB Flash Storage,Chrome OS,1.2,669,Intel Core M M3-6Y30,Intel HD Graphics 515,Flash Storage,Integrated,2.0,1,Mid Budget
Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,2.5,16,512GB SSD,Windows 10,1.36,1877,Intel Core i7 6500U,Intel HD Graphics 520,SSD,Integrated,3.0,1,High Budget
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,2.7,4,500GB HDD,Windows 10,2.1,689,Intel Core i7 7500U,AMD Radeon 530,HDD,Integrated,1.0,1,Mid Budget
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,2.5,8,1TB HDD,Windows 10,2.56,819,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,2.9,4,256GB SSD,Windows 10,2.2,399,AMD A9-Series 9420,AMD Radeon 530,SSD,Integrated,3.0,1,Low Budget
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1366x768,3.6,8,1TB HDD,Windows 10,2.2,429,AMD A12-Series 9720P,AMD Radeon R7,HDD,Integrated,1.0,1,Low Budget
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,2.5,4,1TB HDD +  1TB HDD,Windows 10,2.1,621,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,2.0,4,500GB HDD,No OS,1.9,450,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.18,795,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1.6,8,256GB SSD,Windows 10,1.6,999,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,ThinkPad P51s,Workstation,15.6,Full HD 1920x1080,2.5,16,512GB SSD,Windows 7,2.18,1855,Intel Core i7 6500U,Nvidia Quadro M520M,SSD,Integrated,3.0,1,High Budget
Lenovo,Thinkpad T460p,Notebook,14.0,Full HD 1920x1080,2.3,8,256GB SSD,Windows 10,1.8,1191,Intel Core i5 6300HQ,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,2.5,6,2TB HDD,Windows 10,2.71,655,AMD A10-Series 9620P,AMD Radeon 530,HDD,Integrated,1.0,1,Mid Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.5,1249,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,2.8,8,256GB SSD,Linux,1.64,1089,Intel Core i5 7440HQ,Nvidia GeForce 930MX,SSD,Integrated,3.0,1,Mid Budget
Dell,Vostro 5568,Notebook,15.6,Full HD 1920x1080,2.5,8,1TB HDD,Linux,1.98,726,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Asus,VivoBook E403NA,Notebook,14.0,Full HD 1920x1080,1.1,4,32GB Flash Storage,Windows 10,1.5,298,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,2.6,16,512GB SSD,Windows 10,1.93,1426,Intel Core i5 7300U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Thinkpad E470,Notebook,14.0,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.87,857,Intel Core i5 7200U,Nvidia GeForce 920MX,SSD,Integrated,3.0,1,Mid Budget
Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,2.6,8,256GB SSD,Windows 10,1.9,1179,Intel Core i5 7300U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,2.0,4,500GB HDD,Windows 10,2.19,298,AMD A6-Series 7310,AMD Radeon R4,HDD,Integrated,1.0,1,Low Budget
Mediacom,Smartbook 142,Notebook,14.0,IPS Panel Full HD 1920x1200,1.92,4,32GB HDD,Windows 10,1.4,265,Intel Atom Z8350,Intel HD Graphics 400,HDD,Integrated,1.0,1,Low Budget
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,2.63,1200,Intel Core i7 7500U,Nvidia GeForce 930MX,SSD,Integrated,3.0,1,Mid Budget
Lenovo,ThinkPad X1,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,2.5,8,512GB SSD,Windows 10,1.17,1686,Intel Core i7 6500U,Intel HD Graphics 520,SSD,Integrated,3.0,1,High Budget
HP,Pavilion X360,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,2.5,8,256GB SSD,Windows 10,1.58,836,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,ThinkPad T470s,Ultrabook,14.0,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.32,1499,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Dell,Alienware 17,Gaming,17.3,4K Ultra HD 3840x2160,2.8,32,1TB SSD +  1TB HDD,Windows 10,4.36,3659,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.7,1348,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,1366x768,2.5,4,1TB HDD,No OS,1.9,489,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.6,8,128GB SSD +  1TB HDD,Windows 10,2.2,719,Intel Core i5 8250U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Inspiron 5378,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,2.4,4,1TB HDD,Windows 10,1.71,649,Intel Core i3 7100U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Dell,Inspiron 5567,Notebook,15.6,1366x768,2.5,8,1TB HDD,Linux,2.32,589,Intel Core i5 7200U,AMD Radeon R7 M445,HDD,Integrated,1.0,1,Low Budget
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Full HD 1920x1080,3.0,4,1TB HDD,Windows 10,2.1,489,AMD A9-Series 9420,AMD Radeon 520,HDD,Integrated,1.0,1,Low Budget
Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,2.6,16,128GB SSD +  1TB HDD,Windows 10,4.2,1935,Intel Core i7 6700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,High Budget
Dell,Inspiron 3567,Notebook,15.6,1366x768,2.5,12,1TB HDD,Windows 10,2.25,649,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,Full HD 1920x1080,3.0,6,128GB SSD +  1TB HDD,Windows 10,2.1,650,AMD A9-Series A9-9420,AMD Radeon 520,Hybrid,Integrated,2.5,1,Mid Budget
Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,2.5,4,500GB HDD,Windows 10,2.4,559,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.44,960,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,2.7,4,1TB HDD,Windows 10,1.85,779,Intel Core i7 7500U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,2.8,16,256GB SSD,Windows 10,2.6,2419,Intel Core i7 7700HQ,Nvidia Quadro M2200,SSD,Integrated,3.0,1,High Budget
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1.6,8,1TB HDD,Windows 10,1.55,659,Intel Core i5 8250U,Intel UHD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
MSI,GS63VR 7RF,Gaming,15.6,Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,1.8,2094,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,High Budget
Acer,Aspire ES1-572,Notebook,15.6,1366x768,2.0,4,500GB HDD,Windows 10,2.4,410,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 7560,Notebook,15.6,Full HD 1920x1080,2.7,8,128GB SSD +  1TB HDD,Windows 10,2.0,1207,Intel Core i7 7500U,Nvidia GeForce 940MX,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Vostro 3568,Notebook,15.6,1366x768,2.0,8,256GB SSD,Windows 10,2.0,665,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
Toshiba,Tecra X40-D-10G,Notebook,14.0,IPS Panel Full HD / Touchscreen 1920x1080,2.5,8,256GB SSD,Windows 10,1.25,1535,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Lenovo,Flex 5,2 in 1 Convertible,14.0,Full HD / Touchscreen 1920x1080,2.5,8,256GB SSD,Windows 10,1.7,999,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Thinkpad P51s,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,2.8,16,1TB SSD,Windows 10,2.5,3299,Intel Core i7 7600U,Nvidia Quadro M520M,SSD,Integrated,3.0,1,High Budget
Acer,Chromebook 14,Notebook,14.0,1366x768,1.6,2,32GB Flash Storage,Chrome OS,1.68,330,Intel Celeron Dual Core N3060,Intel HD Graphics 400,Flash Storage,Integrated,2.0,1,Low Budget
Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,2.7,16,256GB SSD,Windows 10,0.81,1649,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.0,8,256GB SSD,Windows 10,1.86,539,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Dell,Latitude 5480,Notebook,14.0,1366x768,2.5,8,256GB SSD,Windows 10,1.6,1126,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,Zbook 17,Workstation,17.3,IPS Panel Full HD 1920x1080,2.9,16,256GB SSD,Windows 7,3.0,4389,Intel Xeon E3-1535M v5,Nvidia Quadro M2000M,SSD,Integrated,3.0,1,High Budget
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,Touchscreen 1366x768,1.6,4,128GB SSD,Windows 10,1.4,475,Intel Celeron Dual Core N3060,Intel HD Graphics 400,SSD,Integrated,3.0,1,Low Budget
HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,2.4,8,256GB SSD,Windows 10,1.84,1900,Intel Core i5 6300U,Intel HD Graphics 520,SSD,Integrated,3.0,1,High Budget
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,1366x768,2.3,4,1TB HDD,No OS,2.45,579,Intel Core i5 6300HQ,Nvidia GeForce GTX 950M,HDD,Integrated,1.0,1,Low Budget
Lenovo,Thinkpad T460,Ultrabook,14.0,Full HD 1920x1080,2.3,4,180GB SSD,Windows 10,1.7,1096,Intel Core i5 6200U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
Asus,Pro P2540UA-XO0192R,Notebook,15.6,1366x768,2.7,4,256GB SSD,Windows 10,2.37,849,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,1.8,8,256GB SSD,Windows 10,1.3,1199,Intel Core i5 6260U,Intel HD Graphics 540,SSD,Integrated,3.0,1,Mid Budget
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,IPS Panel Full HD 1920x1080,2.5,8,128GB SSD +  1TB HDD,Windows 10,2.2,1099,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,2.6,8,256GB SSD,Windows 7,2.59,1561,Intel Core i7 6700HQ,Nvidia Quadro M1000M,SSD,Integrated,3.0,1,High Budget
Dell,Alienware 17,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,2.8,16,256GB SSD +  1TB HDD,Windows 10,4.42,2868,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
Acer,Aspire 3,Notebook,15.6,1366x768,2.5,4,256GB SSD,Windows 10,2.1,599,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,8,128GB SSD +  1TB HDD,Windows 10,2.5,1048,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Latitude 7280,Ultrabook,12.5,Full HD 1920x1080,2.8,16,256GB SSD,Windows 10,1.18,1859,Intel Core i7 7600U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,1.2,8,256GB SSD,Chrome OS,1.1,1559,Intel Core i5 7Y57,Intel HD Graphics 615,SSD,Integrated,3.0,1,High Budget
Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,2.5,8,256GB SSD,Windows 10,1.2,1129,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Latitude 3380,Notebook,13.3,1366x768,2.0,4,500GB HDD,Windows 10,1.65,849,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Mid Budget
Acer,TravelMate P238-M,Notebook,13.3,1366x768,2.3,4,128GB SSD,Windows 10,1.6,655,Intel Core i5 6200U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,1.1,4,1TB HDD,Windows 10,2.8,470,Intel Pentium Quad Core N4200,Nvidia GeForce 920MX,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 7559,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,2.6,16,128GB SSD +  1TB HDD,Windows 10,2.72,1099,Intel Core i7 6700HQ,Nvidia GeForce GTX 960M,Hybrid,Integrated,2.5,1,Mid Budget
Samsung,Notebook 9,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,2.7,8,256GB SSD,Windows 10,1.31,1599,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,High Budget
Acer,Aspire A315-31,Notebook,15.6,1366x768,1.1,4,1TB HDD,Linux,2.1,298,Intel Pentium Quad Core N4200,Intel HD Graphics 505,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,2.7,16,256GB SSD,Windows 10,2.3,1181,Intel Core i7 7500U,AMD Radeon R7 M445,SSD,Integrated,3.0,1,Mid Budget
Samsung,Notebook 9,2 in 1 Convertible,15.0,Full HD / Touchscreen 1920x1080,2.7,16,256GB SSD,Windows 10,1.71,1799,Intel Core i7 7500U,AMD Radeon 540,SSD,Integrated,3.0,1,High Budget
Toshiba,Tecra A40-C-1E5,Notebook,14.0,IPS Panel 1366x768,2.3,4,128GB SSD,Windows 10,1.75,1020,Intel Core i5 6200U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,2.8,8,1TB HDD,Windows 10,2.62,1099,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
HP,EliteBook 820,Ultrabook,12.5,1366x768,2.3,4,256GB SSD,Windows 10,1.26,1244,Intel Core i5 6200U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Mid Budget
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,2.7,12,2TB HDD,Windows 10,2.3,839,Intel Core i7 7500U,Nvidia GeForce 940MX,HDD,Integrated,1.0,1,Mid Budget
Lenovo,Thinkpad P50,Notebook,15.6,4K Ultra HD 3840x2160,2.7,16,512GB SSD,Windows 7,2.5,2370,Intel Core i7 6820HQ,Nvidia Quadro M2000M,SSD,Integrated,3.0,1,High Budget
Acer,Swift 3,Notebook,14.0,IPS Panel Full HD 1920x1080,2.4,4,128GB SSD,Windows 10,1.8,636,Intel Core i3 7100U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Razer,Blade Pro,Gaming,14.0,Full HD 1920x1080,2.8,16,512GB SSD,Windows 10,1.95,2899,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,SSD,Integrated,3.0,1,High Budget
